year,STATE,value,measure,state
2008,RHODE ISLAND,73.07092787,DEMOCRAT,Rhode Island
2008,RHODE ISLAND,26.47466341,REPUBLICAN,Rhode Island
2008,SOUTH CAROLINA,42.24686884,DEMOCRAT,South Carolina
2008,SOUTH CAROLINA,57.52464291,REPUBLICAN,South Carolina
2008,SOUTH DAKOTA,37.50830766,REPUBLICAN,South Dakota
2008,SOUTH DAKOTA,62.49169234,DEMOCRAT,South Dakota
2008,TENNESSEE,65.14422056,REPUBLICAN,Tennessee
2008,TENNESSEE,31.64401331,DEMOCRAT,Tennessee
2008,TEXAS,54.82087821,REPUBLICAN,Texas
2008,TEXAS,2.341244237,LIBERTARIAN,Texas
2008,TEXAS,42.83787755,DEMOCRAT,Texas
2008,VIRGINIA,0.556337205,LIBERTARIAN,Virginia
2008,VIRGINIA,33.72854346,REPUBLICAN,Virginia
2008,VIRGINIA,65.03255021,DEMOCRAT,Virginia
2008,WEST VIRGINIA,36.25603012,REPUBLICAN,West Virginia
2008,WEST VIRGINIA,63.72702575,DEMOCRAT,West Virginia
2008,WYOMING,24.25172095,DEMOCRAT,Wyoming
2008,WYOMING,73.33696554,REPUBLICAN,Wyoming
2008,WYOMING,75.61628274,REPUBLICAN,Wyoming
2008,WYOMING,26.52121834,DEMOCRAT,Wyoming
2010,ALABAMA,34.71015463,DEMOCRAT,Alabama
2010,ALABAMA,65.17547302,REPUBLICAN,Alabama
2010,ALASKA,35.55300721,REPUBLICAN,Alaska
2010,ALASKA,0.571030477,LIBERTARIAN,Alaska
2010,ALASKA,23.50070254,DEMOCRAT,Alaska
2010,ARIZONA,58.86007712,REPUBLICAN,Arizona
2010,ARIZONA,4.688191402,LIBERTARIAN,Arizona
2010,ARIZONA,34.65124637,DEMOCRAT,Arizona
2010,ARKANSAS,57.90293567,REPUBLICAN,Arkansas
2010,ARKANSAS,36.94511364,DEMOCRAT,Arkansas
2010,CALIFORNIA,1.752391962,LIBERTARIAN,California
2010,CALIFORNIA,52.18357506,DEMOCRAT,California
